ID,ELEMENT_NAME,ctlvalue,initCond1,returnCond1,returnCondTO
:R:A:BAS:HPFD:dioBAS-FQSTART:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-ECSPOS.value]=1,1,0)","IF([^:^:dciBAS-FRQOPER.value]=1,1,0)",30
:R:A:BAS:HPFD:dioBAS-FQSTOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-ECSPOS.value]=1) AND ([^:^:dciBAS-FRQOPER.value]=1),1,0)","IF([^:^:dciBAS-FRQOPER.value]=0,1,0)",30
:R:A:BAS:AHUD:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:AHUD:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:AHUD:dioBAS-START:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-ENCTL.value]=1) AND ([^:^:dciBAS-STOPSTA.value]=1),1,0)","IF([^:^:dciBAS-RUNSTA.value]=1,1,0)",30
:R:A:BAS:AHUD:dioBAS-STOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-BASLOC.value]=1) AND ([^:^:dciBAS-ENCTL.value]=1) AND ([^:^:dciBAS-RUNSTA.value]=1),1,0)","IF([^:^:dciBAS-STOPSTA.value]=1,1,0)",30
:R:A:BAS:AHUD:dioBAS-FQSTART:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-ECSPOS.value]=1,1,0)","IF([^:^:dciBAS-FRQOPER.value]=1,1,0)",30
:R:A:BAS:AHUD:dioBAS-FQSTOP:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-ECSPOS.value]=1) AND ([^:^:dciBAS-FRQOPER.value]=1),1,0)","IF([^:^:dciBAS-FRQOPER.value]=0,1,0)",30
:R:A:BAS:LDB_:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:LDB_:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
