ID,ELEMENT_NAME,label,valueLength,unit,__AGGREGATE__,initCond1,returnCond1,returnCondTO,Archive,hmiOrder,computedMessage,type
:R:A:BAS:DJSB:aciBAS-RUNTIME1,aci_cb_type,&DB_1BENGLEIJIYUNXINGSHIJIAN,,&DB11,,,,,,23,"SCS_FTOA([.value],""2"",[.unit])",
:R:A:BAS:DJSB:aciBAS-RUMTIME2,aci_cb_type,&DB_2BENGLEIJIYUNXINGSHIJIAN,,&DB11,,,,,,24,"SCS_FTOA([.value],""2"",[.unit])",
:R:A:BAS:SJSB:dciBAS-MANAUTO,dci_cb_type,&DB_SHOUDONGZIDONGZHUANGTAI,,,,,,,,1,,__ERASE__
:R:A:BAS:SJSB:dciBAS-LOCAL,dci_cb_type,&DB_JIUD,,,,,,,,2,,__ERASE__
:R:A:BAS:SJSB:dciBAS-REMOTE,dci_cb_type,&DB_YUAN,,,,,,,,3,,__ERASE__
:R:A:BAS:SJSB:dciBAS-RUNSTOP1,dci_cb_type,&DB_1BENGYUNXINGTINGZHIZHUANGTAI,,,,,,,,4,,__ERASE__
:R:A:BAS:SJSB:dciBAS-FLTALM1,dci_cb_type,&DB_1BEN2,,,,,,,,5,,__ERASE__
:R:A:BAS:SJSB:dciBAS-RUNSTOP2,dci_cb_type,&DB_2BENGYUNXINGTINGZHIZHUANGTAI,,,,,,,,6,,__ERASE__
:R:A:BAS:SJSB:dciBAS-FLTALM2,dci_cb_type,&DB_2BEN2,,,,,,,,7,,__ERASE__
:R:A:BAS:SJSB:dciBAS-UHLALM,dci_cb_type,&DB_CHAO,,,,,,,,8,,__ERASE__
:R:A:BAS:SJSB:dciBAS-DWPUMP,dci_cb_type,&DB_QISH,,,,,,,,9,,__ERASE__
:R:A:BAS:SJSB:dciBAS-SIGPUMP,dci_cb_type,&DB_QIDA,,,,,,,,10,,__ERASE__
:R:A:BAS:SJSB:dciBAS-STPPUMP,dci_cb_type,&DB_TING4,,,,,,,,11,,__ERASE__
:R:A:BAS:SJSB:dciBAS-LLALM,dci_cb_type,&DB_CHAO1,,,,,,,,12,,__ERASE__
:R:A:BAS:SJSB:dciBAS-MPRTFLT1,dci_cb_type,&DB_1BENGMADABAOHUQIGUZHANG,,,,,,,,13,,__ERASE__
:R:A:BAS:SJSB:dciBAS-MPRTFLT2,dci_cb_type,&DB_2BENGMADABAOHUQIGUZHANG,,,,,,,,14,,__ERASE__
:R:A:BAS:SJSB:dciBAS-MPRUNSG,dci_cb_type,&DB_ZHUYONGDIANYUANYUNXINGXINHAO,,,,,,,,15,,__ERASE__
:R:A:BAS:SJSB:dciBAS-BPRUNSG,dci_cb_type,&DB_BEIYONGDIANYUANYUNXINGXINHAO,,,,,,,,16,,__ERASE__
:R:A:BAS:SJSB:dciBAS-ULFLT,dci_cb_type,&DB_CHAOSHENGBOYEWEIJIGUZHANG,,,,,,,,17,,__ERASE__
:R:A:BAS:SJSB:dciBAS-SYSGS,dci_cb_type,&DB_XITONGGUISHU,,,,,,,,18,,__ERASE__
:R:A:BAS:SJSB:dioBAS-MANAUTO,dio_type,&DB_SHOUDONGZIDONGKONGZHI,,,,,,,,19,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:SJSB:dioBAS-STARTPUP1,dio_type,&DB_1BEN3,,,,,,,,20,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:SJSB:dioBAS-STOPPUP1,dio_type,&DB_1BEN4,,,,,,,,21,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:SJSB:dioBAS-STARTPUP2,dio_type,&DB_2BEN3,,,,,,,,22,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:SJSB:dioBAS-STOPPUP2,dio_type,&DB_2BEN4,,,,,,,,23,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:SJSB:aciBAS-LEVSTA,aci_cb_type,&DB_YEWEIZHUANGTAI,,&DB10,,,,,,24,"SCS_FTOA([.value],""2"",[.unit])",
:R:A:BAS:SJSB:aciBAS-RUNTIME1,aci_cb_type,&DB_1BENGLEIJIYUNXINGSHIJIAN,,&DB11,,,,,,25,"SCS_FTOA([.value],""2"",[.unit])",
:R:A:BAS:SJSB:aciBAS-RUMTIME2,aci_cb_type,&DB_2BENGLEIJIYUNXINGSHIJIAN,,&DB11,,,,,,26,"SCS_FTOA([.value],""2"",[.unit])",
:R:A:BAS:QJSB:dciBAS-MANAUTO,dci_cb_type,&DB_SHOUDONGZIDONGZHUANGTAI,,,,,,,,1,,__ERASE__
:R:A:BAS:QJSB:dciBAS-LOCAL,dci_cb_type,&DB_JIUD,,,,,,,,2,,__ERASE__
:R:A:BAS:QJSB:dciBAS-REMOTE,dci_cb_type,&DB_YUAN,,,,,,,,3,,__ERASE__
:R:A:BAS:QJSB:dciBAS-RUNSTOP1,dci_cb_type,&DB_1BENGYUNXINGTINGZHIZHUANGTAI,,,,,,,,4,,__ERASE__
:R:A:BAS:QJSB:dciBAS-FLTALM1,dci_cb_type,&DB_1BEN2,,,,,,,,5,,__ERASE__
:R:A:BAS:QJSB:dciBAS-RUNSTOP2,dci_cb_type,&DB_2BENGYUNXINGTINGZHIZHUANGTAI,,,,,,,,6,,__ERASE__
:R:A:BAS:QJSB:dciBAS-FLTALM2,dci_cb_type,&DB_2BEN2,,,,,,,,7,,__ERASE__
