ZCIPOWHVNK0001,HVNK0001,1
dalPOW-ComSta_NKNB0001,dal,3
dciPOW-SelCBOpn_NKNB0001,dciPOW-SelCBOpn,2
dfoPOW-SelCBOpn_NKNB0001,dfo,3
dacPOW-SelCBOpn_NKNB0001,dac,3
dalPOW-SelCBOpn_NKNB0001,dal,3
dciPOW-SelCBClo_NKNB0001,dciPOW-SelCBClo,2
dfoPOW-SelCBClo_NKNB0001,dfo,3
dacPOW-SelCBClo_NKNB0001,dac,3
dalPOW-SelCBClo_NKNB0001,dal,3
dioPOW-SelCBOpn_NKNB0001,dioPOW-SelCBOpn,2
dovPOW-SelOpn_SelCBOpn_NKNB0001,dovPOW-SelOpn,3
dovPOW-DeOpn_SelCBOpn_NKNB0001,dovPOW-DeOpn,3
dioPOW-SelCBClo_NKNB0001,dioPOW-SelCBClo,2
dovPOW-SelClo_SelCBClo_NKNB0001,dovPOW-SelClo,3
dovPOW-DeClo_SelCBClo_NKNB0001,dovPOW-DeClo,3
ZCIPOWZSKX0001,ZSKX0001,1
aciPOW-BLVolt_ZSKX0001,aciPOW-BLVolt,2
afoPOW-BLVolt_ZSKX0001,afo,3
aacPOW-BLVolt_ZSKX0001,aac,3
aalPOW-BLVolt_ZSKX0001,aal,3
aciPOW-FDCur_ZSKX0001,aciPOW-FDCur,2
afoPOW-FDCur_ZSKX0001,afo,3
aacPOW-FDCur_ZSKX0001,aac,3
aalPOW-FDCur_ZSKX0001,aal,3
dciPOW-DrwPos_ZSKX0001,dciPOW-DrwPos,2
dfoPOW-DrwPos_ZSKX0001,dfo,3
dacPOW-DrwPos_ZSKX0001,dac,3
dalPOW-DrwPos_ZSKX0001,dal,3
dciPOW-DrwIsoPos_ZSKX0001,dciPOW-DrwIsoPos,2
dfoPOW-DrwIsoPos_ZSKX0001,dfo,3
dacPOW-DrwIsoPos_ZSKX0001,dac,3
dalPOW-DrwIsoPos_ZSKX0001,dal,3
dciPOW-DrwPosFlt_ZSKX0001,dciPOW-DrwPosFlt,2
dfoPOW-DrwPosFlt_ZSKX0001,dfo,3
dacPOW-DrwPosFlt_ZSKX0001,dac,3
dalPOW-DrwPosFlt_ZSKX0001,dal,3
dciPOW-SwtPosOpn_ZSKX0001,dciPOW-SwtPosOpn,2
dfoPOW-SwtPosOpn_ZSKX0001,dfo,3
dacPOW-SwtPosOpn_ZSKX0001,dac,3
dalPOW-SwtPosOpn_ZSKX0001,dal,3
dciPOW-CBPosFlt_ZSKX0001,dciPOW-CBPosFlt,2
dfoPOW-CBPosFlt_ZSKX0001,dfo,3
dacPOW-CBPosFlt_ZSKX0001,dac,3
dalPOW-CBPosFlt_ZSKX0001,dal,3
dciPOW-FDCtrl_ZSKX0001,dciPOW-FDCtrl,2
dfoPOW-FDCtrl_ZSKX0001,dfo,3
dacPOW-FDCtrl_ZSKX0001,dac,3
dalPOW-FDCtrl_ZSKX0001,dal,3
dciPOW-BrkLock_ZSKX0001,dciPOW-BrkLock,2
dfoPOW-BrkLock_ZSKX0001,dfo,3
dacPOW-BrkLock_ZSKX0001,dac,3
dalPOW-BrkLock_ZSKX0001,dal,3
dciPOW-AlmSig_ZSKX0001,dciPOW-AlmSig,2
dfoPOW-AlmSig_ZSKX0001,dfo,3
dacPOW-AlmSig_ZSKX0001,dac,3
dalPOW-AlmSig_ZSKX0001,dal,3
dciPOW-NotClo_ZSKX0001,dciPOW-NotClo,2
dfoPOW-NotClo_ZSKX0001,dfo,3
dacPOW-NotClo_ZSKX0001,dac,3
dalPOW-NotClo_ZSKX0001,dal,3
dciPOW-JmpSig1_ZSKX0001,dciPOW-JmpSig1,2
dfoPOW-JmpSig1_ZSKX0001,dfo,3
dacPOW-JmpSig1_ZSKX0001,dac,3
dalPOW-JmpSig1_ZSKX0001,dal,3
dciPOW-LocOpn_ZSKX0001,dciPOW-LocOpn,2
dfoPOW-LocOpn_ZSKX0001,dfo,3
dacPOW-LocOpn_ZSKX0001,dac,3
dalPOW-LocOpn_ZSKX0001,dal,3
dciPOW-CoilPowF_ZSKX0001,dciPOW-CoilPowF,2
dfoPOW-CoilPowF_ZSKX0001,dfo,3
dacPOW-CoilPowF_ZSKX0001,dac,3
dalPOW-CoilPowF_ZSKX0001,dal,3
dciPOW-Recls_ZSKX0001,dciPOW-Recls,2
dfoPOW-Recls_ZSKX0001,dfo,3
